"Source Name",URL,"Date Accessed","Referrer URL",Title,"Program Name",Domain,"Data Source"
places.sqlite,"https://www.mozilla.org/en-US/privacy/firefox/","2019-01-29 09:09:56 NZDT","https://www.mozilla.org/privacy/firefox/","Firefox Privacy Notice — Mozilla","FireFox Analyzer",mozilla.org,Narcos-2.001
places.sqlite,"https://www.google.com/search?client=firefox-b-ab&q=drug+memes","2019-01-29 09:10:17 NZDT",,"drug memes - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,"https://www.google.com/search?q=drug+memes&tbm=isch&source=univ&client=firefox-b-ab&sa=X&ved=2ahUKEwjI3YagpJHgAhVDbysKHSKNCnAQsAR6BAgAEAE&biw=1284&bih=756","2019-01-29 09:10:28 NZDT","https://www.google.com/search?client=firefox-b-ab&q=drug+memes","drug memes - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFdQRD7modVq5WGqlRci_y1oKevA3T2uAVFznIEJP0JSgaVQUN","2019-01-29 09:13:00 NZDT","https://www.google.com/search?q=drug+memes&tbm=isch&source=univ&client=firefox-b-ab&sa=X&ved=2ahUKEwjI3YagpJHgAhVDbysKHSKNCnAQsAR6BAgAEAE&biw=1284&bih=756",drugmeme5.jfif,"FireFox Analyzer",gstatic.com,Narcos-2.001
places.sqlite,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUSpR_9sYTq8mOozcGvIL4K7bfvbTc7SoJSqAUXVsL9JAibfwB","2019-01-29 09:13:15 NZDT","https://www.google.com/search?q=drug+memes&tbm=isch&source=univ&client=firefox-b-ab&sa=X&ved=2ahUKEwjI3YagpJHgAhVDbysKHSKNCnAQsAR6BAgAEAE&biw=1284&bih=756",drugmeme6.jfif,"FireFox Analyzer",gstatic.com,Narcos-2.001
places.sqlite,"https://www.google.com/search?client=firefox-b-ab&ei=qmFPXMjgFcPerQGimqqABw&q=pablo+escobar&oq=pablo+eascar&gs_l=psy-ab.1.0.0i13l10.3443.16565..18491...0.0..0.198.2025.0j12......0....1..gws-wiz.....0..0i71j0i67j0j0i131j0i10.XcKL613qaPA","2019-01-29 09:14:11 NZDT","https://www.google.com/search?client=firefox-b-ab&q=drug+memes","pablo escobar - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,"https://en.wikipedia.org/wiki/Pablo_Escobar","2019-01-29 09:14:16 NZDT",,"Pablo Escobar - Wikipedia","FireFox Analyzer",wikipedia.org,Narcos-2.001
places.sqlite,"https://www.google.com/search?client=firefox-b-ab&ei=lGJPXIa0GYvt9QOet5rYDw&q=youtube&oq=youtube&gs_l=psy-ab.3..0i67l6j0l4.1303.4074..4274...2.0..0.182.1543.0j9......0....1..gws-wiz.......0i10.MnnBOni13-M","2019-01-29 09:14:43 NZDT","https://www.google.com/search?client=firefox-b-ab&ei=qmFPXMjgFcPerQGimqqABw&q=pablo+escobar&oq=pablo+eascar&gs_l=psy-ab.1.0.0i13l10.3443.16565..18491...0.0..0.198.2025.0j12......0....1..gws-wiz.....0..0i71j0i67j0j0i131j0i10.XcKL613qaPA","youtube - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,https://www.youtube.com/,"2019-01-29 09:14:46 NZDT",,YouTube,"FireFox Analyzer",youtube.com,Narcos-2.001
places.sqlite,"https://www.youtube.com/results?search_query=pablo+escobar","2019-01-29 09:15:02 NZDT",https://www.youtube.com/,"pablo escobar - YouTube","FireFox Analyzer",youtube.com,Narcos-2.001
places.sqlite,"https://www.youtube.com/watch?v=hLR7jsxZNRs","2019-01-29 09:15:09 NZDT","https://www.youtube.com/results?search_query=pablo+escobar","National Geographic - Pablo Escobar: The King of Coke | Drug Documentary Film - 24 Product - YouTube","FireFox Analyzer",youtube.com,Narcos-2.001
places.sqlite,"https://www.google.com/search?client=firefox-b-ab&q=badiu+anti-virus","2019-01-29 09:15:55 NZDT",,"badiu anti-virus - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,"https://www.google.com/search?client=firefox-b-ab&ei=_WJPXKO3Atr6rQGIkbfwAw&q=baidu+antivirus+download&oq=baidu+antivirus+download&gs_l=psy-ab.3..0l3j0i22i30l6.5214.8048..8696...0.0..0.201.1556.0j8j1......0....1..gws-wiz.zON9hgCev1s","2019-01-29 09:16:05 NZDT","https://www.google.com/search?client=firefox-b-ab&q=badiu+anti-virus","baidu antivirus download - Google Search","FireFox Analyzer",google.com,Narcos-2.001
places.sqlite,"https://baidu-antivirus.en.softonic.com/","2019-01-29 09:16:14 NZDT",,"Baidu Antivirus - Download","FireFox Analyzer",softonic.com,Narcos-2.001
places.sqlite,"https://baidu-antivirus.en.softonic.com/download","2019-01-29 09:16:36 NZDT","https://baidu-antivirus.en.softonic.com/","Download Baidu Antivirus - free - latest version","FireFox Analyzer",softonic.com,Narcos-2.001
